id,EAP,HPL,MWS
id22106,0.21206634227339038,0.12289393101678855,0.665039726709821
id08387,9.312538674130702e-07,0.9999828408049452,1.622794118723745e-05
id23794,0.7016811130903037,0.002867855130620988,0.2954510317790753
id16925,0.5261936453974901,0.11138821570643102,0.3624181388960788
id17295,0.0007355716068828628,0.9992054327637051,5.899562941187734e-05
id10055,0.9851770557251927,0.014822942860147579,1.4146596707495997e-09
id18719,1.595333549470866e-05,2.466070661569059e-08,0.9999840220037987
id12428,2.2430787370159057e-09,0.9999826664168675,1.733134005374098e-05
id12742,4.908673277581348e-16,1.1483467386093544e-17,0.9999999999999994
id27229,7.560857209208144e-08,0.9999999243914266,1.2869190523276325e-15
id13475,2.1135011210803876e-06,0.9999942691048335,3.6173940454265596e-06
id27083,5.599340650735826e-05,1.8254364525769306e-05,0.999925752228967
id24802,0.3469505617080365,0.012539184520588548,0.6405102537713749
id27865,3.979641608830837e-06,0.08248943357484498,0.9175065867835461
id23970,0.9616835782741651,0.02646387305489267,0.011852548670942237
id02105,1.3682438521951815e-06,5.409065106328041e-11,0.9999986317020572
id24191,8.64889942295533e-24,0.9999999999999999,1.4740820919632314e-16
id10477,0.00016297439887106823,0.004397009392919828,0.9954400162082092
id12181,3.1426814090186584e-16,3.823583738859707e-10,0.9999999996176414
id23956,0.9931210042277211,0.0056159461511291675,0.001263049621149642
id09025,0.9870226679491269,0.010646185282747503,0.002331146768125559
id18408,0.0018045852090978363,0.9979594649372058,0.00023594985369636767
id02493,2.8886152034821792e-05,0.9811950369616291,0.018776076886335962
id17645,0.046363163710400807,0.011295250265760448,0.9423415860238388
id17154,0.08745795880565088,0.572383959837062,0.34015808135728715
id20893,2.7459712872521077e-06,0.9999972177333487,3.6295364218903197e-08
id27076,0.19323614723658922,0.41786465292730973,0.38889919983610105
id00361,2.811150146750756e-06,1.4875132650059276e-10,0.9999971887011019
id05136,0.9779701567210605,0.0019601174821659044,0.020069725796773623
id02035,8.028034911170954e-09,0.9999999628375388,2.913442615243476e-08
id02460,4.4896588878620034e-09,0.9999974702510865,2.525259254556349e-06
id02568,0.9876176291821721,5.722114541133275e-05,0.012325149672416593
id19334,5.29191882702846e-07,0.00545891673774576,0.9945405540703716
id22754,0.007367774045905831,0.9926278247534944,4.401200599803447e-06
id08561,0.887011112108652,0.11084244699044002,0.0021464409009079918
id01432,3.0546871906528633e-12,4.138241580069455e-09,0.9999999958587037
id22037,2.304409243203371e-08,0.9999999769503993,5.5082647150879615e-12
id22330,0.0006086926881579357,0.997417985637232,0.0019733216746099843
id26151,2.8083829247714775e-05,2.711225224053364e-06,0.9999692049455282
id22981,9.613546607029332e-06,0.9999417519706661,4.863448272680242e-05
id06917,0.005423386375998597,0.00015215232610585636,0.9944244612978955
id25734,0.0006811717282641007,3.14211320079712e-07,0.9993185140604158
id04491,0.9157124522325708,0.08423140227956626,5.614548786293705e-05
id17434,0.9992021715250538,0.0005482827985060397,0.00024954567644011654
id14374,2.4218722112291133e-05,1.0208425118974173e-08,0.9999757710694626
id21529,0.013179300106079896,0.0005685622887444431,0.9862521376051756
id14857,0.017437138967314,0.967859293184868,0.014703567847818153
id22362,0.0008501208336167794,2.17127477110007e-06,0.9991477078916121
id18492,0.20182982433612032,0.0065264819627449755,0.7916436937011346
id24293,0.05163073357923921,0.9483515142331795,1.7752187581261968e-05
id22537,1.1097409582680806e-05,0.9999814425845636,7.46000585365885e-06
id11657,0.8796392450671525,0.12036075493284426,3.2994127293336733e-15
id02555,0.9467760640959484,0.0009360661763274744,0.05228786972772419
id17518,0.999129350522527,0.0008127850909365732,5.786438653645762e-05
id22979,0.9999622896441571,1.9391285933227278e-05,1.8319069909530966e-05
id12483,8.069168821166377e-06,8.562126122136141e-13,0.9999919308303226
